,area_metro_quadrado_int,quartos_int,banheiros_int,vagas_int,preco_anuncio_float
3336,267,3,5,4,1350000.0
3337,335,4,5,3,1950000.0
3338,504,3,3,4,18000000.0
3339,450,4,2,7,2600000.0
3340,490,5,8,10,3000000.0
3341,300,4,5,2,4250000.0
3342,75,2,1,1,265000.0
3343,455,5,4,4,2500000.0
3344,613,4,5,5,5500000.0
3345,500,4,5,4,10000000.0
3346,165,3,4,2,1300000.0
3348,450,3,4,7,3400000.0
3349,191,3,2,1,2600000.0
3350,141,2,2,1,1190000.0
3351,350,3,4,5,2000000.0
3352,160,3,5,2,1245000.0
3353,680,5,5,4,4500000.0
3354,442,3,8,4,2600000.0
3355,145,2,3,2,550000.0
3357,130,4,2,3,1350000.0
3358,210,3,2,4,5250000.0
3359,300,6,5,2,850000.0
3360,350,4,5,3,3350000.0
3361,700,4,4,5,9500000.0
3362,413,6,6,7,2490000.0
3363,332,4,5,12,2389000.0
3364,258,4,3,2,2250000.0
3365,166,3,3,2,563000.0
3366,435,4,4,6,4500000.0
3367,100,2,2,2,330000.0
3368,200,3,3,1,1000000.0
3369,280,4,3,3,3150000.0
3370,380,3,4,4,2850000.0
3371,283,6,3,1,1250000.0
3372,389,4,6,4,2000000.0
3373,285,3,5,4,2150000.0
3374,500,4,5,4,6863720.0
3376,360,4,6,4,5800000.0
3377,300,3,3,3,1990000.0
3379,210,3,1,2,1100000.0
3380,160,3,5,3,2900000.0
3381,730,4,6,10,7800000.0
3382,408,3,5,4,3400000.0
3383,220,3,5,4,1030000.0
3384,630,4,9,7,14000000.0
3385,497,3,4,4,3000000.0
3386,400,5,5,4,1950000.0
3387,203,3,1,2,3100000.0
3391,551,4,8,8,5000000.0
3392,93,3,1,1,531000.0
3393,170,3,2,1,500000.0
3394,352,4,4,3,3600000.0
3395,470,4,6,3,2930000.0
3397,147,3,2,1,760000.0
3398,446,4,4,5,2100000.0
3399,181,3,1,2,700000.0
3400,880,4,5,3,3500000.0
3401,436,4,4,3,5500000.0
3402,458,4,6,6,2400000.0
3403,473,4,5,5,3600000.0
3405,357,4,5,4,6400000.0
3406,500,4,3,3,7900000.0
3407,161,3,3,3,1200000.0
3408,800,4,6,6,3700000.0
3409,410,3,4,5,1850000.0
